,Unnamed: 0,time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod,current_start,current_end,current_mapping,QPV_error
12,12,2022.08.30.09.58.57.445037,0.05,0.1,46.44019194985799,168.77050650248233,0.00043220446882,2.9754295,0.0001259030566199,229630,1661846336844000000,-6.1559648513793945,-6.210897922515869,-6.1559648513793945,0.012879862707788625
13,13,2022.08.30.09.59.22.738679,0.05,0.1,66.26540005876018,200.9194660630809,0.0003771048398074,2.9638755,6.779991515207163e-05,229629,1661846362044000000,-6.210897922515869,-6.210897922515869,-6.210897922515869,0.0
14,14,2022.08.30.09.59.47.843395,0.05,0.1,53.64935853491335,175.9659694744384,0.0004241109177905,2.9523215,0.0001217954704813,229629,1661846387244000000,-6.183431625366211,-6.210897922515869,-6.183431625366211,0.0064398754531682645
15,15,2022.08.30.10.00.13.034858,0.05,0.1,50.0447752423857,154.4025886050002,0.0004786623989082,3.107387,0.0001183999068777,229630,1661846412444000000,-6.183431625366211,-6.197165012359619,-6.183431625366211,0.0032199936273102914
16,16,2022.08.30.10.00.38.328721,0.05,0.1,57.253941827441,211.251338554414,0.0003431078007355,3.107387,9.046923764658396e-05,229630,1661846437644000000,-6.197165012359619,-6.197165012359619,-6.197165012359619,0.0
17,17,2022.08.30.10.01.03.433250,0.05,0.1,59.05623347370482,190.8642006415208,0.0003978870242301,3.0520499,0.0001018831482201,229630,1661846462844000000,-6.183431625366211,-6.183431625366211,-6.183431625366211,0.0
18,18,2022.08.30.10.01.28.636668,0.05,0.1,62.66081676623253,154.35646385859093,0.0005257501918178,3.028334,0.0001314669312138,229632,1661846488044000000,-6.169698238372803,-6.197165012359619,-6.169698238372803,0.006439987254620583
19,19,2022.08.30.10.01.53.834055,0.05,0.1,69.86998335128783,198.0827234545701,0.0003868569934438,3.0143478,0.0001270201995225,229630,1661846513244000000,-6.169698238372803,-6.197165012359619,-6.169698238372803,0.006439987254620583
20,20,2022.08.30.10.02.19.094231,0.05,0.1,93.29977475271768,196.8373553015201,0.0004513886095476,2.8465123,0.0001214193833413,229629,1661846538444000000,-6.169698238372803,-6.197165012359619,-6.169698238372803,0.006439987254620583
21,21,2022.08.30.10.02.44.255318,0.05,0.0,23.01040054842821,44.64875452416436,0.0019419800042191,2.8580663,0.0007471706708511,229630,1661846563644000000,-6.197165012359619,-6.197165012359619,-6.197165012359619,0.0
22,22,2022.08.30.10.03.09.457329,0.05,0.0,19.4058172559005,44.6026297777551,0.0018389526503431,2.9334707,0.0010085480257479,229630,1661846588844000000,-5.757698059082031,-5.77143144607544,-5.757698059082031,0.0032199936273102914
23,23,2022.08.30.10.03.34.736813,0.05,0.0,21.208108902164327,45.7787947014554,0.0018761731881873,2.924349,0.0007597648301564,229629,1661846614044000000,-5.757698059082031,-5.743965148925781,-5.757698059082031,-0.003219881825857973
24,24,2022.08.30.10.03.59.844864,0.05,0.0,26.61498384095586,41.97350446178783,0.0021543839800362,2.9182682,0.0009264341050933,229629,1661846639244000000,-5.77143144607544,-5.757698059082031,-5.77143144607544,-0.0032199936273102914
25,25,2022.08.30.10.04.25.039911,0.05,0.0,17.603525609636677,46.12473017778882,0.0017180749611216,2.9894156,0.0008565308677086,229633,1661846664444000000,-5.77143144607544,-5.757698059082031,-5.77143144607544,-0.0032199936273102914
26,26,2022.08.30.10.04.50.242307,0.05,0.0,21.208108902164327,45.08692374878857,0.0018024684999086,2.986375,0.0010581180592376,229630,1661846689644000000,-5.757698059082031,-5.743965148925781,-5.757698059082031,-0.003219881825857973
