time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod
2022.08.30.11.30.05.843685,0.05,-0.4,59.1683478601508,71.07823421667074,0.004829460405053829,3.0818467,0.003567244504210337,229634,1661851805244000000
2022.08.30.11.30.31.125445,0.05,-0.4,64.19445695818233,78.43513126894783,0.004953070709177171,2.9085386,0.0030428843597622695,229630,1661851830444000000
2022.08.30.11.31.21.658610,0.05,-0.4,61.402174125942594,72.85404336283256,0.004870504811107765,3.0252936,0.0024745865122796245,229637,1661851880844000000
2022.08.30.11.31.46.667114,0.05,-0.4,61.681402409166566,73.84572549787586,0.004990465101091123,2.9985373,0.0030098673190524844,229630,1661851906044000000
2022.08.30.11.32.12.277418,0.05,-0.4,61.402174125942594,70.178807835739,0.0054954420821270765,2.9809022,0.0037207449591414826,229630,1661851931244000000
2022.08.30.11.33.52.622330,0.05,-0.4,64.4736852414063,76.17501869489405,0.005096204597787057,2.929822,0.0028511740712313617,229631,1661852032044000000
2022.08.30.11.34.43.035537,0.05,-0.4,63.636000391734385,76.24420581450794,0.004906149257511746,2.9334707,0.003248641126362894,229631,1661852082444000000
2022.08.30.11.35.58.610419,0.05,-0.45,57.492978160806956,68.86424638902623,0.005088643816583926,3.0046182,0.004640317961297623,229632,1661852158044000000
2022.08.30.11.36.23.869111,0.05,-0.45,58.88911957692683,69.18711961389106,0.00515038922181627,3.0143478,0.00644785527959848,229631,1661852183244000000
2022.08.30.11.36.49.074840,0.05,-0.45,58.33066301047887,69.74061657080219,0.005396001575696909,3.0070505,0.0054814808243302884,229631,1661852208444000000
2022.08.30.11.37.14.515701,0.05,-0.45,57.492978160806956,70.10961454207627,0.005376810408589235,2.9772537,0.0044108312621826936,229631,1661852233644000000
2022.08.30.11.37.39.447086,0.05,-0.45,58.33066301047887,73.4767210299523,0.005174479686113705,3.0076585,0.004035487912097877,229630,1661852258844000000
2022.08.30.11.38.04.644583,0.05,-0.45,61.12294584271862,74.14552985288658,0.0052678849572998995,2.9346867,0.004572013071069678,229631,1661852284044000000
2022.08.30.11.38.29.844209,0.05,-0.45,59.447576143374775,71.07823421667074,0.005461929568730447,3.0046182,0.005206789361623647,229630,1661852309244000000
2022.08.30.11.38.55.146632,0.05,-0.5,61.402174125942594,74.1685922260912,0.005798141829964977,2.9432,0.0037661479453541843,229631,1661852334444000000
2022.08.30.11.39.20.260782,0.05,-0.5,60.56448927627068,69.44080571914199,0.008006869512164278,nan,0.008593122514205387,229633,1661852359644000000
2022.08.30.11.39.45.461324,0.05,-0.5,62.519087258838496,72.185228130493,0.006345450170257458,2.9170518,0.004110353495407457,229630,1661852384844000000
2022.08.30.11.40.10.650831,0.05,-0.5,63.07754382528644,75.20639902029957,0.005661093724746479,2.9802942,0.006945004167882699,229631,1661852410044000000
2022.08.30.11.40.35.825632,0.05,-0.5,61.12294584271862,73.73040713520324,0.005349199832941895,2.8927279,0.002199919219998091,229631,1661852435244000000
2022.08.30.11.41.01.036455,0.05,-0.5,58.60989129370286,70.4324877669411,0.006863001361311124,2.9906318,0.009271324642654413,229635,1661852460444000000
2022.08.30.11.41.26.237764,0.05,-0.5,59.1683478601508,71.14742133628464,0.00798223321378619,2.9328623,0.00331237745304385,229630,1661852485644000000
